product_name,price,description,rating,subTitle,Features
"Moto X Play",16999,"No Description",4.0,NULL,NULL
"Lenovo A6000 Plus",7499,"No Description",3.8,NULL,NULL
"XOLO Play Tegra Note Tablet",5499,"No Description",4.0,NULL,NULL
"Moto G (3rd Generation)",10999,"No Description",4.2,NULL,NULL
"Redmi 2 Prime",6999,"No Description",4.1,NULL,NULL
"Redmi 2 Prime",6999,"If you're looking for a budget-friendly Android smartphone with a cool UI that does not compromise on performance, then look no further than the Redmi 2.",4.1,NULL,NULL
"Samsung Galaxy J7",14999,"No Description",4.2,NULL,NULL
"Samsung Galaxy J7",14980,"No Description",4.2,NULL,NULL
"Samsung Galaxy J7",14850,"No Description",4.1,NULL,NULL
"Aroma Diamond Facial Kit 270 g",285,"No Description",3.4,NULL,NULL
"Natural Honey Normal & Dry Skin Body Lotion",840,"No Description",0.0,NULL,NULL
"Natural Honey Soothing Body Lotion",900,"No Description",4.5,NULL,NULL
"Advin England Canvas Shoes",799,"No Description",1.0,NULL,NULL
"ShoeTopia Canvas Shoes",699,"No Description",0.0,NULL,NULL
"Kielz Kielz Ladies canvas shoes Canvas Shoes",499,"No Description",0.0,NULL,NULL
"ShoeTopia Canvas Shoes",399,"No Description",0.0,NULL,NULL
"American Swan Janik Casual Shoes",479,"No Description",0.0,NULL,NULL
"ShoeTopia Canvas Shoes",499,"No Description",0.0,NULL,NULL
"Alexus Canvas Shoes",999,"No Description",0.0,NULL,NULL
"Boltio Canvas Shoes",479,"No Description",3.0,NULL,NULL
"Western Fits Canvas Shoes",449,"No Description",4.0,NULL,NULL
"Rain Walk RW-SH-GR-36 Canvas Shoes",279,"No Description",0.0,NULL,NULL
"Lovely Chick Canvas Shoes",899,"No Description",0.0,NULL,NULL
"Lovely Chick Canvas Shoes",999,"No Description",0.0,NULL,NULL
"Beonza Canvas Shoes",375,"No Description",0.0,NULL,NULL
"Natural Honey 7 in 1 Youth Lotion",960,"No Description",4.7,NULL,NULL
"Natural Honey Normal Dry Skin Body Lotion 400ml Pack",840,"No Description",0.0,NULL,NULL
"Natural Honey 7 in 1 Body Lotion For Natural Beauty",960,"No Description",0.0,NULL,NULL
"Natural Honey Aloe Vera Body Lotion",900,"No Description",0.0,NULL,NULL
"Natural Honey Body Lotion For Normal & Dry Skin 400ml",840,"No Description",0.0,NULL,NULL
"Natural Honey Sweet Almond Oil Lotion For Extra Dry Skin",840,"No Description",0.0,NULL,NULL
"Natural Honey Body Lotion For Extra Dry Skin",900,"No Description",0.0,NULL,NULL
"Natural Honey Nutritive Body Lotion",900,"No Description",4.2,NULL,NULL
"Natural Honey Nutritive Dry Skin Body Lotion",900,"No Description",0.0,NULL,NULL
"Natural Honey Body Youth Lotion",960,"No Description",0.0,NULL,NULL
"Natural Honey Body Lotion",900,"No Description",0.0,NULL,NULL
"Natural Honey Body Lotion For Moisture Balance",900,"No Description",0.0,NULL,NULL
"Natural Honey Aloe Body Lotion",900,"No Description",0.0,NULL,NULL
"Natural Honey Argan Oil Cream Oil Lotion",1020,"No Description",4.8,NULL,NULL
"Natural Honey Argan Oil Body Lotion Liquid Gold",1020,"No Description",0.0,NULL,NULL
"Natural Honey 7 in 1 Body Lotion",960,"No Description",0.0,NULL,NULL
"Natural Honey 100% Lotion For Normal and Dry Skin",840,"No Description",0.0,NULL,NULL
"Natural Honey Nourishing Argan Oil Body Lotion",1020,"No Description",0.0,NULL,NULL
"Natural Honey Normal & Dry Skin Body Lotion",840,"No Description",4.8,NULL,NULL
"Lenovo K3 Note",9999,"No Description",3.8,NULL,NULL
"Aura Gas Cylinder Trolley",430,"No Description",0.0,NULL,NULL
"Zupishi nexcare advanced callus cream -",3685,"No Description",0.0,NULL,NULL
"Azores Canvas Shoes",450,"No Description",0.0,NULL,NULL
"Beonza Canvas Shoes",475,"No Description",0.0,NULL,NULL
"0 Jeans Casual Canvas Shoes",1199,"No Description",0.0,NULL,NULL
"Zirh Clean Alpha-Hydr Face Wash",3868,"No Description",0.0,NULL,NULL
"Zirh Aloe Vera Scrub",1250,"No Description",0.0,NULL,NULL
"Zirh Facial Aloe Vera Scrub",1250,"No Description",0.0,NULL,NULL
"Zirh Alpha  Face Wash",1250,"No Description",0.0,NULL,NULL
"Zupishi Estee Lauder Resilience Lift Firming Sculpting Face & Neck Cream Normal / Combination Skin 1",6017,"No Description",0.0,NULL,NULL
"Zupishi Jafra Mattifying Lotion",2003,"No Description",0.0,NULL,NULL
"Murchison-Hume Velvet Glove Natural Hand Cream (Original Fig)",3207,"No Description",0.0,NULL,NULL
"Zupishi Cleansing Oil",2027,"No Description",0.0,NULL,NULL
"Zupishi Cleansing Oil",9072,"No Description",0.0,NULL,NULL
"Murchison-Hume HSO-17F",3444,"No Description",0.0,NULL,NULL
"Zupishi Soap & Glory Glow Lotion",2447,"No Description",0.0,NULL,NULL
"Zupishi sexiest fantasies on the prowl",1770,"No Description",0.0,NULL,NULL
"Cortina Large Wall Decals Sticker",279,"No Description",0.0,NULL,NULL
"Omved Moisturising Face Cleanser",590,"No Description",0.0,NULL,NULL
"Omved Face Care Kit For Dry Skin 125 ml",990,"No Description",0.0,NULL,NULL
"Omved Natural Lip Balm Mint",390,"No Description",0.0,NULL,NULL
"Omved Gotu Kola Gold Leaf Night Cream",790,"No Description",0.0,NULL,NULL
"Kolln Muesli Granular Cereal",495,"No Description",0.0,NULL,NULL
"Naturally Yours Oats Granular Cereal",260,"No Description",0.0,NULL,NULL
"Lovely Chick Canvas Shoes",699,"No Description",0.0,NULL,NULL
"Lovely Chick LOVE-WHITE-38 Canvas Shoes",693,"No Description",0.0,NULL,NULL
"Advin England Canvas Shoes",799,"No Description",5.0,NULL,NULL
"Lovely Chick CV-FACE-BLACK-39 Canvas Shoes",792,"No Description",0.0,NULL,NULL
"Advin England Canvas Shoes",799,"No Description",0.0,NULL,NULL
"Get Glamr DESIGNER LACE UPS Canvas Shoes",806,"No Description",0.0,NULL,NULL
"Western Fits Canvas Shoes",379,"No Description",5.0,NULL,NULL
"Lancer Blue Canvas Shoes",399,"No Description",4.1,NULL,NULL
"Boltio Premium Canvas Shoes",439,"No Description",5.0,NULL,NULL
"Boltio Canvas Shoes",479,"No Description",0.0,NULL,NULL
"RCI Lifestyle Canvas Shoes",499,"No Description",0.0,NULL,NULL
"Unistar Canvas Shoes",499,"No Description",0.0,NULL,NULL
"Elan Canvas Shoes",999,"No Description",0.0,NULL,NULL
"DeVEE Multi Eyelets Floral Print Red Canvas Shoes",599,"No Description",0.0,NULL,NULL
"Mast & Harbour Canvas Shoes",779,"No Description",4.7,NULL,NULL
"Moto X Play",16999,"With 30 hours battery backup, an Octa-core processor and a superb 21 MP camera - the new Moto X Play lets you do so much with one gadget. Featuring an aesthetically pleasing design and nifty technical features, this handset is your perfect partner.",4.0,NULL,NULL
"Moto G (3rd Generation)",10999,"Advanced IPX7 water resistance, a 13 MP rear camera and a 5 MP front camera, a long-lasting 2470 mAh battery and Android Lollipop. Meet the beautifully crafted Moto G (3rd Gen), the phone that'll always be there for you.",4.2,NULL,NULL
"Samsung Galaxy On5",8990,"No Description",4.2,NULL,NULL
"Samsung Galaxy On7",10990,"No Description",4.2,NULL,NULL
"Knockout Punch Pepper Stream Spray",225,"No Description",4.1,NULL,NULL
"Zenith Nutrition Probiotic Immune Multi Vitamin",1435,"No Description",0.0,NULL,NULL
"Morpheme Remedies Wheatgrass Supplements 500mg Extract Multi Vitamin",1384,"No Description",0.0,NULL,NULL
"Knockout Pepper Stream Spray",2287,"No Description",0.0,NULL,NULL
"Knock Out Pepper Stream Spray",399,"No Description",0.0,NULL,NULL
"Dr. Morepen Pepper Stream Spray",349,"No Description",0.0,NULL,NULL
"Bodygard Pepper Stream Spray",1200,"No Description",0.0,NULL,NULL
"Shoot Out Self Defence Pepper Stream Spray",1745,"No Description",0.0,NULL,NULL
"Knockout Pepper Stream Spray",1390,"No Description",0.0,NULL,NULL
"Knockout Champ With Glow-In Dark Trigger Pepper Stream Spray",2600,"No Description",0.0,NULL,NULL
"Shoot Out Self Defence Pepper Stream Spray",990,"No Description",0.0,NULL,NULL
"TWG Solar 4 Million Volt Rechargeable Flash Light Stun Gun",2399,"No Description",3.0,NULL,NULL
"Dr.Morepen 10 Pieces Women Self Defence Pepper Stream Spray",2199,"No Description",0.0,NULL,NULL
"Bodygard Pepper Stream Spray",3000,"No Description",0.0,NULL,NULL
"Knockout NightGard With Built-in LED Light Pepper Stream Spray",3575,"No Description",0.0,NULL,NULL
"Dr.Morepen 6 Pieces Women Self Defence Pepper Stream Spray",1375,"No Description",0.0,NULL,NULL
"Bodygard Pepper Stream Spray",2000,"No Description",0.0,NULL,NULL
"Knockout NightGard With Built-in LED Light Pepper Stream Spray",2694,"No Description",0.0,NULL,NULL
"Healthgenie Self Defence Pepper Stream Spray",708,"No Description",4.7,NULL,NULL
"Cobra Pepper Stream Spray",3280,"No Description",0.0,NULL,NULL
"Sabre Campus Safety Black Pepper Gel Spray",800,"No Description",0.0,NULL,NULL
"Cobra Durable Built Pepper Fogger Spray",1195,"No Description",0.0,NULL,NULL
"Stealodeal 2.5 million volt Rechargeable Flash Light Stun Gun",449,"No Description",0.0,NULL,NULL
"Shoot Out Self Defence Pepper Stream Spray",3300,"No Description",0.0,NULL,NULL
"Dr.Morepen 12 Pieces Women Self Defence Pepper Stream Spray",2660,"No Description",0.0,NULL,NULL
"Shoot Out Self Defence Pepper Stream Spray",2400,"No Description",0.0,NULL,NULL
"Shoot Out Self Defence Pepper Stream Spray",2700,"No Description",0.0,NULL,NULL
"Urvashi Pepper Stream Spray",345,"No Description",0.0,NULL,NULL
"Shoot Out Self Defence Pepper Stream Spray",3600,"No Description",0.0,NULL,NULL
"Shoot Out Self Defence Pepper Stream Spray",3100,"No Description",0.0,NULL,NULL
"Carati Jewels Gold Diamond 14K Yellow Gold 14 K Ring",8872,"No Description",0.0,NULL,NULL
"Zenith Nutrition Ashwagandha Multi Vitamin",507,"No Description",0.0,NULL,NULL
"Magnus Nutrition ZenBuild Vitamins A-Z",1005,"No Description",0.0,NULL,NULL
"Magnus Nutrition 4400211320 Multi Vitamin",1005,"No Description",0.0,NULL,NULL
"Magnus Nutrition Zen Build Special Supplements",1076,"No Description",0.0,NULL,NULL
"Magnus Nutrition Grow2Gain Special Supplements",1211,"No Description",0.0,NULL,NULL
"Magnus Nutrition Zen ISO Whey 93 Special Supplements",2565,"No Description",0.0,NULL,NULL
"Magnus Nutrition Gain Fast Vitamins A-Z",1583,"No Description",0.0,NULL,NULL
"Magnus Nutrition ZenMass Special Supplements",713,"No Description",0.0,NULL,NULL
"Zenith Nutrition Grape seed Anti-Oxidants",3026,"No Description",0.0,NULL,NULL
"Magnus Nutrition Vitamins A-Z",1178,"No Description",0.0,NULL,NULL
"Magnus Nutrition Zen Mass Special Supplements",713,"No Description",0.0,NULL,NULL
