id,name,price,keyfeatures,specs,url,warranty,emi,subtitle,rating,num_review,offers,insertdate,inserttime
1,"'Apple iPhone 5S'","Rs. 21,494",{},"{""Flash"": ""Dual LED"", ""Phone Book Memory"": ""Yes"", ""Video Player"": ""Yes, Supports H.264, MP4, M4V, MOV, Full HD"", ""Business Features"": ""Document Viewer, Microsoft Word, Microsoft Excel, Microsoft Power",http://www.flipkart.com/apple-iphone-5s/p/itme8ra4f4twtsva?pid=MOBDPPZZPXVDJHSQ&ref=L%3A-6075006493286973221&srno=p_1&query=apple&otracker=from-search,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,"'Apple iPhone 6'","Rs. 35,999","""'Key Features of Apple iPhone 6\n            \n\n1.2 MP Secondary Camera\n4.7 inch Touchscreen\nBluetooth Support\nFull HD Recording\niOS 9\n8 MP Primary Camera\nWi-Fi Enabled'""","{""GPRS"": ""Yes"", ""In the Box"": ""Handset, Lightening Charger, Quick Start Guide, Data Cable, Headphone"", ""Video Player"": ""Yes, Supports H.264, MPEG4, PCM, AAC-LC, M4V, MOV, MJPEG, MP4, AVI, Full HD"", ""B",http://www.flipkart.com/apple-iphone-6/p/itme8dvfeuxxbm4r?pid=MOBEYHZ2YAXZMF2J&ref=L%3A-6075006493286973221&srno=p_2&query=apple&otracker=from-search,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,"'Apple iPhone 5S'","Rs. 22,785","""'Key Features of Apple iPhone 5S\n            \n\nUp to 56x Faster GPU than the Original iPhone\nUltra-fast Wireless\nUp to 40x Faster CPU than the Original iPhone\n8 MP iSight Camera with 15% Large ","{""Flash"": ""Dual LED"", ""Phone Book Memory"": ""Yes"", ""Video Player"": ""Yes, Supports H.264, MOV, M4V, MP4, Full HD"", ""Business Features"": ""Document Viewer, Microsoft Word, Microsoft Excel, Microsoft Power",http://www.flipkart.com/apple-iphone-5s/p/itme8ra4f4twtsva?pid=MOBDPPZZVUJRG582&ref=L%3A-6075006493286973221&srno=p_3&query=apple&otracker=from-search,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,"'Apple iPhone 6S'","Rs. 44,990",{},"{""GPRS"": ""Yes"", ""Java"": ""No"", ""Removable Battery"": ""No"", ""In the Box"": ""Handset, Apple EarPods with Remote and Mic, Lightning to USB Cable, USB Power Adapter, SIM Slot Remover Tool"", ""Video Player"": """,http://www.flipkart.com/apple-iphone-6s/p/itmebysgqqaranas?pid=MOBEBY3VG2Z2HVGJ&ref=L%3A-6075006493286973221&srno=p_4&query=apple&otracker=from-search,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,"'Apple iPhone 5S'","Rs. 26,648",{},"{""Flash"": ""Dual LED"", ""Phone Book Memory"": ""Yes"", ""Video Player"": ""Yes, Supports MOV, H.264, MP4, M4V, Full HD"", ""Business Features"": ""Document Viewer, Microsoft Word, Microsoft Excel, Microsoft Power",http://www.flipkart.com/apple-iphone-5s/p/itme8ms8gvttwhev?pid=MOBDPPZZXGKPFZN3&ref=L%3A-6075006493286973221&srno=p_5&query=apple&otracker=from-search,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,"'Apple iPhone 6S'","Rs. 53,678","""'Key Features of Apple iPhone 6S\n            \n\n4.7 inch Touchscreen\nBluetooth Support\niOS 9\n5 MP Secondary Camera\nWi-Fi Enabled\n12 MP Primary Camera\n3D Touch & Live Photos'""","{""GPRS"": ""Yes"", ""Java"": ""No"", ""Removable Battery"": ""No"", ""In the Box"": ""Handset, Apple EarPods with Remote and Mic, Lightning to USB Cable, USB Power Adapter, SIM Slot Remover Tool"", ""Video Player"": """,http://www.flipkart.com/apple-iphone-6s/p/itmeby3vdbfypzhj?pid=MOBEBY3VECD4BVVH&ref=L%3A-6075006493286973221&srno=p_6&query=apple&otracker=from-search,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,"'Apple iPhone 6S'","Rs. 44,990",{},"{""GPRS"": ""Yes"", ""Java"": ""No"", ""Removable Battery"": ""No"", ""In the Box"": ""Handset, Apple EarPods with Remote and Mic, Lightning to USB Cable, USB Power Adapter, SIM Slot Remover Tool"", ""Video Player"": """,http://www.flipkart.com/apple-iphone-6s/p/itmebysgrshyyfbg?pid=MOBEBY3VQC5F6AM4&ref=L%3A-6075006493286973221&srno=p_7&query=apple&otracker=from-search,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,"'Apple iPhone 6S'","Rs. 44,990",{},"{""GPRS"": ""Yes"", ""Java"": ""No"", ""Removable Battery"": ""No"", ""In the Box"": ""Handset, Apple EarPods with Remote and Mic, Lightning to USB Cable, USB Power Adapter, SIM Slot Remover Tool"", ""Video Player"": """,http://www.flipkart.com/apple-iphone-6s/p/itmebysgupjepunx?pid=MOBEBY3VRK2MSPMQ&ref=L%3A-6075006493286973221&srno=p_8&query=apple&otracker=from-search,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,"'Apple iPhone 5S'","Rs. 28,298",{},"{""Flash"": ""Dual LED"", ""Phone Book Memory"": ""Yes"", ""Video Player"": ""Yes, Supports M4V, H.264, MP4, MOV, Full HD"", ""Business Features"": ""Document Viewer, Microsoft Word, Microsoft Excel, Microsoft Power",http://www.flipkart.com/apple-iphone-5s/p/itme8mrumyn4mr8y?pid=MOBDPPZZMY4DF4YH&ref=L%3A-6075006493286973221&srno=p_9&query=apple&otracker=from-search,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,"'Apple iPhone 6S'","Rs. 55,287",{},"{""GPRS"": ""Yes"", ""Java"": ""No"", ""Removable Battery"": ""No"", ""In the Box"": ""Handset, Apple EarPods with Remote and Mic, Lightning to USB Cable, USB Power Adapter, SIM Slot Remover Tool"", ""Video Player"": """,http://www.flipkart.com/apple-iphone-6s/p/itmebysgqertms7g?pid=MOBEBY3V6HYJHTUB&ref=L%3A-6075006493286973221&srno=p_10&query=apple&otracker=from-search,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
